"Consolidado Integral: Desarrollo Humano, PIB y Matriz Eléctrica",,,,,,,,,,
"Datos 2023: IDH, PIB per Cápita, Población, Acceso, Consumo, Fallas, Pérdidas y Tipos de Energía",,,,,,,,,,
,,,,,,,,,,
País,IDH (2023),PIB per Cápita (USD),Población (2023),% Acceso a Electricidad,Consumo per Cápita (kWh),Empresas con Apagones (%),Pérdidas por Transmisión (%),% Petróleo,% Gas,% Renovables
Iceland,0.972,"$82,138.79","385,663",100.0%,"50,951.2",18.4%,2.9%,0.0%,0.0%,100.0%
Norway,0.970,"$87,497.22","5,519,601",100.0%,"23,520.2",0.0%,4.7%,0.4%,0.6%,99.0%
Switzerland,0.970,"$100,623.55","8,888,822",100.0%,"7,175.0",0.0%,5.5%,2.7%,0.6%,96.7%
Denmark,0.962,"$68,043.55","5,946,952",100.0%,"5,878.1",31.3%,5.7%,3.8%,2.5%,93.7%
Germany,0.959,"$54,776.77","83,287,273",100.0%,"5,947.3",5.8%,5.0%,4.8%,20.8%,74.4%
Sweden,0.959,"$54,950.28","10,536,632",100.0%,"12,149.5",32.7%,5.8%,1.6%,0.1%,98.3%
Australia,0.958,"$65,058.38","26,659,922",100.0%,"9,819.9",0.0%,4.6%,3.9%,28.7%,67.4%
Netherlands,0.955,"$63,515.60","17,877,117",100.0%,"6,206.4",18.4%,4.1%,4.3%,38.8%,56.9%
Belgium,0.951,"$55,291.48","11,779,946",100.0%,"6,931.1",33.5%,4.4%,9.6%,32.2%,58.2%
Ireland,0.949,"$106,818.92","5,311,538",100.0%,"6,144.7",30.2%,7.8%,3.0%,48.6%,48.4%
Finland,0.948,"$52,834.29","5,583,911",100.0%,"14,392.8",27.8%,3.6%,3.9%,1.9%,94.2%
Singapore,0.946,"$85,412.23","5,917,648",100.0%,"9,750.5",0.1%,0.2%,2.5%,92.0%,5.5%
United Kingdom,0.946,"$49,944.47","68,492,000",100.0%,"4,231.4",14.3%,9.6%,5.0%,35.6%,59.4%
United Arab Emirates,0.940,"$49,850.69","10,483,751",100.0%,"15,284.7",0.0%,4.3%,0.0%,88.6%,11.4%
Canada,0.939,"$54,220.33","40,083,484",100.0%,"14,459.9",31.4%,4.0%,1.4%,21.4%,77.1%
New Zealand,0.938,"$49,075.96","5,200,000",100.0%,"8,021.2",36.0%,6.6%,1.5%,9.0%,89.5%
United States,0.938,"$81,032.26","336,806,231",100.0%,"12,551.2",25.2%,5.5%,1.1%,60.3%,38.7%
Korea (Republic of),0.937,"$35,674.10","51,712,619",100.0%,"11,426.1",4.7%,3.2%,2.4%,71.1%,26.5%
Slovenia,0.931,"$32,660.48","2,120,461",100.0%,"6,418.4",18.4%,4.8%,0.0%,13.9%,86.1%
Austria,0.930,"$56,579.50","9,131,761",100.0%,"7,860.1",9.5%,4.1%,4.5%,11.9%,83.6%
Japan,0.925,"$33,836.18","124,516,650",100.0%,"7,655.0",0.0%,4.9%,4.2%,55.7%,40.1%
Malta,0.924,"$40,905.81","552,747",100.0%,"5,013.1",55.1%,8.3%,0.9%,83.1%,16.0%
Luxembourg,0.922,"$133,230.62","666,430",100.0%,"11,447.6",22.8%,4.6%,4.5%,3.9%,91.6%
